,show_id,type,title,director,country,date_added,release_year,rating,duration,listed_in,release_year_outlier
0,80125979,1,#realityhigh,Fernando Lebrija,2,"September 8, 2017",2017,3,99 min,Comedies,False
1,80117902,2,Fire Chasers,,2,"September 8, 2017",2017,4,1 Season,"Docuseries, Science & Nature TV",False
2,80060297,1,Manhattan Romance,Tom O'Brien,2,"September 8, 2017",2014,3,98 min,"Comedies, Independent Movies, Romantic Movies",False
3,70304988,1,Stonehearst Asylum,Brad Anderson,2,"September 8, 2017",2014,3,113 min,"Horror Movies, Thrillers",False
4,80057700,1,The Runner,Austin Stark,2,"September 8, 2017",2015,4,90 min,"Dramas, Independent Movies",False
5,80239639,1,Sierra Burgess Is A Loser,Ian Samuels,2,"September 7, 2018",2018,3,106 min,"Comedies, Romantic Movies",False
6,80178151,2,The Spy,,1,"September 6, 2019",2019,4,1 Season,"International TV Shows, TV Dramas, TV Thrillers",False
7,80058026,1,Hell and Back,"Tom Gianas, Ross R. Shuman",2,"September 6, 2018",2015,4,86 min,"Action & Adventure, Comedies, Independent Movies",False
8,80147760,1,Carrie Pilby,Susan Johnson,2,"September 5, 2017",2016,3,98 min,"Comedies, Dramas",False
9,80177405,1,Marc Maron: Too Real,Lynn Shelton,2,"September 5, 2017",2017,4,70 min,Stand-Up Comedy,False
10,80113482,2,No Tomorrow,,2,"September 5, 2017",2016,3,1 Season,"Romantic TV Shows, TV Comedies, TV Dramas",False
11,81173255,1,The Heretics,Chad Archibald,0,"September 4, 2019",2017,4,88 min,Horror Movies,False
12,81078908,1,The World We Make,Brian Baugh,2,"September 4, 2019",2019,2,108 min,"Dramas, Romantic Movies",False
13,80201906,1,Black Panther,Ryan Coogler,2,"September 4, 2018",2018,3,135 min,"Action & Adventure, Sci-Fi & Fantasy",False
14,80113641,2,Frequency,,2,"September 4, 2017",2016,3,1 Season,"Crime TV Shows, TV Dramas, TV Mysteries",False
15,80996949,2,Adam Ruins Everything,,2,"September 30, 2018",2018,3,1 Season,TV Comedies,False
16,81011682,2,Christiane Amanpour: Sex & Love Around the World,,2,"September 30, 2018",2018,4,1 Season,Docuseries,False
17,80128317,2,The Eighties,,2,"September 30, 2018",2016,2,1 Season,Docuseries,False
18,81027384,2,The Nineties,,2,"September 30, 2018",2017,3,1 Season,Docuseries,False
19,80030186,2,The Seventies,,2,"September 30, 2018",2015,2,1 Season,Docuseries,False
20,80128722,1,Gerald's Game,Mike Flanagan,2,"September 29, 2017",2017,4,103 min,"Horror Movies, Thrillers",False
21,80182115,1,Long Shot,Jacob LaMendola,2,"September 29, 2017",2017,3,40 min,Documentaries,False
22,80104068,1,Our Souls at Night,Ritesh Batra,2,"September 29, 2017",2017,3,103 min,"Dramas, Romantic Movies",False
23,80157072,1,Hold the Dark,Jeremy Saulnier,2,"September 28, 2018",2018,4,126 min,"Action & Adventure, Dramas",False
24,81001809,1,Lessons from a School Shooting: Notes from Dunblane,Kim A. Snyder,2,"September 28, 2018",2018,2,24 min,Documentaries,False
25,80201933,2,Made in Mexico,,2,"September 28, 2018",2018,4,1 Season,"International TV Shows, Reality TV, Spanish-Language TV Shows",False
26,80231903,1,In the Shadow of the Moon,Jim Mickle,2,"September 27, 2019",2019,4,116 min,"Dramas, Sci-Fi & Fantasy, Thrillers",False
27,81171121,1,Sturgill Simpson Presents Sound & Fury,"Jumpei Mizusaki, Koji Morimoto, Michael Arias, Masaru Matsumoto, Arthell Isom, Henry Thurlow, Takanobu Mizuno, Elsa Nakamichi, Hajime Sasaki, Shinji Takagi",2,"September 27, 2019",2019,4,42 min,"Anime Features, Music & Musicals, Sci-Fi & Fantasy",False
28,80241248,2,The Politician,,2,"September 27, 2019",2019,3,1 Season,"TV Comedies, TV Dramas, Teen TV Shows",False
29,60003155,1,Joseph: King of Dreams,"Rob LaDuca, Robert C. Ramirez",2,"September 27, 2011",2012,2,75 min,"Children & Family Movies, Dramas, Faith & Spirituality",True
30,80215923,1,The Hurricane Heist,Rob Cohen,2,"September 26, 2018",2018,3,103 min,Action & Adventure,False
31,80151483,1,Def Comedy Jam 25,Louis J. Horvitz,2,"September 26, 2017",2017,4,82 min,Stand-Up Comedy,False
32,80173625,1,Restless Creature: Wendy Whelan,"Linda Saffire, Adam Schlesinger",2,"September 26, 2017",2016,4,94 min,Documentaries,False
33,80005444,1,Print the Legend,"Luis Lopez, Clay Tweel",2,"September 26, 2014",2014,3,100 min,Documentaries,False
34,80108976,1,USS Indianapolis: Men of Courage,Mario Van Peebles,2,"September 25, 2019",2016,4,130 min,Action & Adventure,False
35,80208155,1,A Wrinkle in Time,Ava DuVernay,2,"September 25, 2018",2018,2,110 min,Children & Family Movies,False
36,80198423,1,Teach Us All,Sonia Lowman,2,"September 25, 2017",2017,3,81 min,Documentaries,False
37,81053953,1,Inside Man: Most Wanted,Michael J. Bassett,2,"September 24, 2019",2019,4,106 min,Action & Adventure,False
38,81074113,1,Jeff Dunham: Beside Himself,Troy Miller,2,"September 24, 2019",2019,4,58 min,Stand-Up Comedy,False
39,80208906,1,Under the Eiffel Tower,Archie Borders,2,"September 23, 2019",2018,4,87 min,"Comedies, Independent Movies, Romantic Movies",False
40,80097321,1,Audrie & Daisy,"Bonni Cohen, Jon Shenk",2,"September 23, 2016",2016,3,99 min,Documentaries,False
41,80106966,1,Iliza Shlesinger: Confirmed Kills,Bobcat Goldthwait,2,"September 23, 2016",2016,4,78 min,Stand-Up Comedy,False
42,81004814,2,BONDING,,2,"September 22, 2019",2019,4,1 Season,"TV Comedies, TV Dramas",False
43,70267838,1,20 Feet From Stardom,Morgan Neville,2,"September 22, 2018",2013,3,91 min,"Documentaries, Music & Musicals",False
44,80196586,1,Gaga: Five Foot Two,Chris Moukarbel,2,"September 22, 2017",2017,4,101 min,"Documentaries, Music & Musicals",False
45,80099204,1,The Bad Batch,Ana Lily Amirpour,2,"September 22, 2017",2016,4,119 min,"Dramas, Independent Movies, Thrillers",False
46,80059432,1,SMOSH: The Movie,Alex Winter,2,"September 22, 2015",2015,3,83 min,Comedies,False
47,70153543,1,Sarah's Key,Gilles Paquet-Brenner,1,"September 21, 2019",2010,3,102 min,"Dramas, International Movies",False
48,80124522,2,Maniac,,2,"September 21, 2018",2018,4,1 Season,"TV Comedies, TV Dramas, TV Mysteries",False
49,80102952,1,Quincy,"Rashida Jones, Alan Hicks",2,"September 21, 2018",2018,4,124 min,"Documentaries, Music & Musicals",False
50,80157073,2,The Good Cop,,2,"September 21, 2018",2018,2,1 Season,"Crime TV Shows, TV Comedies, TV Dramas",False
51,80243600,1,Between Two Ferns: The Movie,Scott Aukerman,2,"September 20, 2019",2019,4,83 min,Comedies,False
52,81122669,1,Daddy Issues,Amara Cash,2,"September 20, 2019",2019,4,82 min,"Dramas, Independent Movies, LGBTQ Movies",False
53,80184771,2,Inside Bill's Brain: Decoding Bill Gates,,2,"September 20, 2019",2019,3,1 Season,"Docuseries, Science & Nature TV",False
54,80244627,2,Two Sentence Horror Stories,,2,"September 20, 2019",2019,3,1 Season,"TV Horror, Teen TV Shows",False
55,80993149,1,Maynard,Samuel D. Pollard,2,"September 2, 2018",2017,2,100 min,Documentaries,False
56,80161931,1,Vincent N Roxxy,Gary Michael Schultz,2,"September 2, 2017",2016,4,101 min,"Dramas, Thrillers",False
57,80190449,1,The Endless,"Justin Benson, Aaron Moorhead",2,"September 19, 2018",2017,4,112 min,"Independent Movies, Sci-Fi & Fantasy, Thrillers",False
58,80163156,1,Jerry Before Seinfeld,Michael Bonfiglio,2,"September 19, 2017",2017,3,62 min,Stand-Up Comedy,False
59,80176878,2,Manhunt,,2,"September 19, 2017",2017,3,1 Season,"Crime TV Shows, TV Dramas, TV Mysteries",False
60,80987075,1,Class Rank,Eric Stoltz,2,"September 18, 2018",2018,3,103 min,Comedies,False
61,80192815,1,Barbie Dolphin Magic,Conrad Helten,2,"September 18, 2017",2017,1,64 min,Children & Family Movies,False
62,80066798,1,Keith Richards: Under the Influence,Morgan Neville,2,"September 18, 2015",2015,2,82 min,"Documentaries, Music & Musicals",False
63,81147293,1,A Haunting at Silver Falls: The Return,Teo Konuralp,2,"September 17, 2019",2019,3,80 min,"Horror Movies, Independent Movies",False
64,70178604,2,Ancient Aliens,,2,"September 17, 2019",2010,2,1 Season,"Docuseries, Science & Nature TV",False
65,80190588,1,Clive Davis: The Soundtrack of Our Lives,Chris Perkel,2,"September 17, 2019",2017,3,124 min,"Documentaries, Music & Musicals",False
66,70229037,1,Sebastian Maniscalco: What's Wrong with People?,Manny Rodriguez,2,"September 17, 2019",2012,3,76 min,Stand-Up Comedy,False
67,80058248,1,I Am Wrath,Chuck Russell,2,"September 16, 2019",2016,4,91 min,"Action & Adventure, Dramas",False
68,70307661,1,"As Above, So Below",John Erick Dowdle,2,"September 16, 2018",2014,4,93 min,"Horror Movies, Thrillers",False
69,80108371,1,Cedric the Entertainer: Live from the Ville,Troy Miller,2,"September 16, 2016",2016,4,60 min,Stand-Up Comedy,False
70,70251519,2,America's Book of Secrets,,2,"September 15, 2019",2014,3,1 Season,Docuseries,False
71,81044365,2,Cold Case Files,,2,"September 15, 2019",2017,3,1 Season,"Crime TV Shows, Docuseries",False
72,81030342,1,Los Tigres del Norte at Folsom Prison,Tom Donahue,2,"September 15, 2019",2019,2,64 min,"Documentaries, International Movies, Music & Musicals",False
73,70143865,2,Pawn Stars,,2,"September 15, 2019",2010,2,1 Season,Reality TV,False
74,70054723,1,Steal a Pencil for Me,Michèle Ohayon,2,"September 15, 2019",2006,3,94 min,Documentaries,False
75,81069393,2,Surviving R. Kelly,,2,"September 15, 2019",2019,4,1 Season,Docuseries,False
76,80012550,2,The Curse of Oak Island,,2,"September 15, 2019",2014,2,1 Season,Docuseries,False
77,81131761,1,The Outsider,Timothy Woodward Jr.,2,"September 15, 2019",2019,4,86 min,Movies,False
78,81176196,2,The Rap Game,,2,"September 15, 2019",2016,3,1 Season,Reality TV,False
79,70143831,2,The Universe,,2,"September 15, 2019",2009,2,1 Season,"Docuseries, Science & Nature TV",False
80,80088910,1,Natural Born Pranksters,"Roman Atwood, Ben Pluimer",2,"September 15, 2016",2016,4,91 min,Comedies,False
81,70290909,1,Sample This,Dan Forrer,2,"September 15, 2016",2012,3,83 min,"Documentaries, Music & Musicals",False
82,80238013,1,The Crystal Calls Making the Dark Crystal: Age of Resistance,Randall Lobb,2,"September 14, 2019",2019,2,83 min,"Documentaries, International Movies",False
83,81089941,1,We Have Always Lived in the Castle,Stacie Passon,2,"September 14, 2019",2018,3,95 min,"Dramas, Thrillers",False
84,80225949,2,Norm Macdonald Has a Show,,2,"September 14, 2018",2018,4,1 Season,"Stand-Up Comedy & Talk Shows, TV Comedies",False
85,80164779,1,The Land of Steady Habits,Nicole Holofcener,2,"September 14, 2018",2018,4,98 min,"Comedies, Dramas, Independent Movies",False
86,81092328,1,American Warfighter,Jerry G. Angelo,2,"September 13, 2019",2019,4,106 min,Dramas,False
87,81183572,1,Deviant Love,Michael Feifer,2,"September 13, 2019",2019,3,87 min,Thrillers,False
88,81037283,1,Head Count,Elle Callahan,2,"September 13, 2019",2018,4,90 min,"Horror Movies, Independent Movies",False
89,80244973,1,"Hello, Privilege. It's Me, Chelsea",Alex Stapleton,2,"September 13, 2019",2019,4,65 min,Documentaries,False
90,80217779,2,Marianne,,1,"September 13, 2019",2019,4,1 Season,"International TV Shows, TV Dramas, TV Horror",False
91,81002412,1,Tall Girl,Nzingha Stewart,2,"September 13, 2019",2019,2,103 min,"Children & Family Movies, Comedies, Romantic Movies",False
92,81023636,1,Time Trap,"Mark Dennis, Ben Foster",2,"September 13, 2019",2018,3,88 min,"Action & Adventure, Sci-Fi & Fantasy",False
93,80153467,2,Unbelievable,,2,"September 13, 2019",2019,4,1 Season,"Crime TV Shows, TV Dramas",False
94,80192834,1,Reversing Roe,,2,"September 13, 2018",2018,3,100 min,Documentaries,False
95,80198046,1,Ghost of the Mountains,Ben Wallis,2,"September 13, 2017",2017,1,78 min,Documentaries,False
96,80106307,1,Extremis,Dan Krauss,2,"September 13, 2016",2016,2,25 min,Documentaries,False
97,80993062,2,The I-Land,,2,"September 12, 2019",2019,4,1 Season,"TV Action & Adventure, TV Dramas, TV Sci-Fi & Fantasy",False
98,81098586,2,"The Mind, Explained",,2,"September 12, 2019",2019,3,1 Season,"Docuseries, Science & Nature TV",False
99,70267728,1,Turbo,David Soren,2,"September 12, 2019",2013,2,96 min,"Children & Family Movies, Comedies",False
